smiles,scores
CC1=C2C(=C(C3=CC=CC(C)=C3)C(C)=C4C=CC(=O)NC(N)C42)C=C(Br)C1,-6.0
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC=C(Cl)C3=C1CC4=CC=CC(N)=C4,-7.5
CC1=CC2=CC(=O)NC(=O)NC2C3=CC4=C(CCC5=CC=CC=C54)C3=C1,-7.1
O=C1C=C2C3=CC(C4=CC=CC=C4)CC=CC3=CC=CC2NC(=O)N1,-6.5
CC1=CC=2C(C3=CC=CC=C13)=C(OC=C4C=CC=CC4)C(O)NN(O)C=2,-7.5
CC1=CC2=CC(=O)NC(=O)NC2C3=CC=CC(Cl)C3=C1C4=CC=CC=C4C,-6.6
CC1=CC=CC=C1C2=CCC3=CC4=C(O)C(=O)NCNC4C3=C2,-6.5
CC1=CC2=C(O)C(=O)NCNC2C(=CCC3=CC=CC=C3)C(F)=C1,-7.3
CCC1=C2C(=C(C3=CC=CC(C)=C3)C=C4CC(=O)NC(=O)NC42)CC=C1Br,-7.0
CC1=C2CC3=CC=CC=C3C=C2C(=CC1)CC4=CC(=O)NC(=O)NC4,-6.9
CC1=C2C=CC(=O)N(OO)NC2C3=CCC=CC4=CC=CC=C4C3=C1,-7.8
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C)CC(O)=CC3=C1C4=CC(Cl)=CC=C4F,-8.4
CC1=C2C(=C(C3=CC=CC(C)=C3)C(C)=C4C=CC(=O)NC(N)C42)CC=C1Br,-7.1
CC1=CC2=NC(=O)NC2C3=CC(C4=CC=CC=C4)CC=CC3=C1,-7.4
CC1=CC2=CC(=O)NC(=O)N(C)C2C3=CC(C4=CC=CC=C4)C=CCC3=C1,-7.9
CC1=CC2=C(C)C(=O)NC(=O)NC2C3=C(C)CC(Cl)=CC3=C1C4=CC=CC=C4,-7.3
CC1=CC2=CCC(=O)NC2C3=C(C)C=CC(F)C3=C1C4=CC(C)=CC=C4O,-7.0
CC1=CC2=CC(=O)NC(=O)NC2C(=C(C)CCS)C=C1C3=CC(Cl)=CC=C3F,-6.9
CC1=CC2=CC(=O)NC(=O)NC2C3C=CCCCC3=C1C4=CC=CC(C)=C4,-7.8
CC1=CC(C2=CC=CC=C2)=CC3=C1C(C)C=CC4=C(O)C(=O)NC(=O)NC43,-6.8
CC1=CC2=CC(=O)NC(=O)NC2C3=C(C=CC4=CC=C5C=C45)C=CCC3=C1,-6.5
